gemeinde;ort_id;ort
Hohenzieritz;481;Hohenzieritz (Hohenzieritz)
Holldorf;483;Holldorf (Holldorf)
Mirow, Stadt;602;Holm (Mirow, Stadt)
Groß Miltzow;127;Holzendorf (Groß Miltzow)
Möllenhagen;613;Hoppenbarg (Möllenhagen)
Woldegk, Stadt;910;Hornshagen (Woldegk, Stadt)
Feldberger Seenlandschaft;347;Hullerbusch (Feldberger Seenlandschaft)
Faulenrost;324;Hungerstorf (Faulenrost)
Tützpatz;131;Idashof (Tützpatz)
Neuenkirchen;667;Ihlenfeld (Neuenkirchen)
Ivenack;488;Ivenack (Ivenack)
Jabel;495;Jabel (Jabel)
Fincken;363;Jaebetz (Fincken)
Waren (Müritz), Stadt;867;Jägerhof (Waren (Müritz), Stadt)
Wolde;902;Japzow (Wolde)
Friedland, Stadt;375;Jatzke (Friedland, Stadt)
Malchin, Stadt;14;Jettchenshof (Malchin, Stadt)
Beggerow;1;Johannenhöhe (Beggerow)
Woldegk, Stadt;916;Johannesgrund (Woldegk, Stadt)
Woldegk, Stadt;915;Johanneshöhe (Woldegk, Stadt)
Wesenberg, Stadt;1012;Johannesruh (Wesenberg, Stadt)
Peenehagen;114;Johannshof (Peenehagen)
Alt Schwerin;148;Jürgenshof (Alt Schwerin)
Jürgenstorf;499;Jürgenstorf (Jürgenstorf)
Fincken;357;Kaeselin (Fincken)
Breesen;189;Kalübbe (Breesen)
Groß Teetzleben;455;Kaluberhof (Groß Teetzleben)
Bollewick;177;Kambs (Bollewick)
Melz;1688;Karbow (Melz)
Melz;588;Karbow (Melz)
Bütow;214;Karchow (Bütow)
Kargow;237;Kargow (Kargow)
Demmin, Hansestadt;320;Karlshof (Demmin, Hansestadt)
Rosenow;99;Karlshof (Rosenow)
Neukalen, Stadt;670;Karnitz (Neukalen, Stadt)
Beggerow;162;Kaslin (Beggerow)
Knorrendorf;530;Kastorf (Knorrendorf)
Grapzow;429;Kessin (Grapzow)
Kieve;501;Kieve (Kieve)
Vollrathsruhe;859;Kirch Grubenhagen (Vollrathsruhe)
Göhren-Lebbin;406;Kirch Poppentin (Göhren-Lebbin)
Penkow;720;Kisserow (Penkow)
Kittendorf;503;Kittendorf (Kittendorf)
Altentreptow, Stadt;142;Klatzow (Altentreptow, Stadt)
Knorrendorf;529;Kleeth (Knorrendorf)
Groß Miltzow;435;Klein Daberkow (Groß Miltzow)
Schloen-Dratow;764;Klein Dratow (Schloen-Dratow)
Penzlin, Stadt;271;Klein Flotow (Penzlin, Stadt)
Peenehagen;714;Klein Gievitz (Peenehagen)
Mölln;623;Klein Helle (Mölln)
Vollrathsruhe;857;Klein Luckow (Vollrathsruhe)
Penzlin, Stadt;267;Klein Lukow (Penzlin, Stadt)
Dargun, Stadt;223;Klein Methling (Dargun, Stadt)
Groß Nemerow;448;Klein Nemerow (Groß Nemerow)
Groß Plasten;452;Klein Plasten (Groß Plasten)
Wesenberg, Stadt;48;Klein Quassow (Wesenberg, Stadt)
Vollrathsruhe;860;Klein Rehberg (Vollrathsruhe)
Groß Teetzleben;453;Klein Teetzleben (Groß Teetzleben)
